time,temperature_avg,temperature_min,temperature_max,relative_humidity,sunshine_duration,wind_velocity,precipitation,solar_radiation,evaporation
2020-11-05,25.5,22.6,28.3,90.210,0,0.565,6.8,472.16,5.6
2020-11-06,27.3,24.1,32.1,82.538,4.5,0.307,6.1,24.96,3.27
2020-11-07,25.6,22.6,32.7,87.952,4.1,0.784,0,443.04,4.25
2020-11-08,24.6,22.4,31.4,92.172,4.2,0.662,8.3,424.32,3.9
2020-11-09,26.975,21,33.2,73.169,7.9,0.522,0.1,332.8,2.99
2020-11-10,26.45,23.5,33,83.961,7,0.783,0.2,740.48,4.9
2020-11-11,26.7,22.2,32.8,82.913,7,0.647,33,528.32,4.19
2020-11-12,27.225,23.4,33,82.062,4.8,0.962,13,588.64,4.47
2020-11-13,28.15,22.5,32.6,75.638,7.4,0.490,0,440.96,4.06
2020-11-14,27.3,23.6,33.8,80.903,5.8,0.824,0,663.52,3.2
2020-11-15,27.4,23.2,32.6,79.386,6.1,0.994,17.7,619.84,4.34
2020-11-16,28.15,23.2,33.6,77.633,7.2,0.957,0,567.84,8.68
2020-11-17,27.75,26.2,32.8,82.177,0,0.955,0,548,4.5
2020-11-18,26.75,22.9,31.8,83.721,3.6,0.573,26.9,856.96,6.36
2020-11-19,27.625,22.2,33.8,78.373,7.6,0.416,0,237.12,2.43
2020-11-20,27.175,24.1,32.7,83.767,5.9,0.882,0,755.04,3.09
2020-11-21,25.8,22.8,30.8,88.681,0,0.623,4.5,515.84,5.66
2020-11-22,25.375,22.6,31.5,88.203,0,0.575,32.2,187.2,6.49
2020-11-23,25.65,23,30.4,87.785,0.8,0.563,0,374.4,4.36
2020-11-24,27.05,22.8,31.6,79.094,4.3,0.500,1.6,191.36,2.66
2020-11-25,27.775,22.6,33.8,76.723,7.4,0.853,0,482.56,4.18
2020-11-26,27.725,22.5,33.4,75.566,7.7,0.877,0,630.24,5.4
2020-11-27,27.35,22.6,32.8,73.465,2.9,0.928,0,684.32,6.64
2020-11-28,26.8,22.8,33,80.249,4.3,0.699,0.1,463.84,3.24
2020-11-29,26.425,23.2,31,81.887,0.9,0.579,7.8,499.2,5.01
2020-11-30,24.775,22.8,29.3,92.083,1.3,0.600,5.1,212.16,2.59
2020-12-01,26.7175,23.3,31.9,82.817,5.6,0.434,1.7,203.84,2.78
